"job_count",title,"company_name",location,"source_url",schedule
1,"Nhân Viên Phát Triển Thị Trường Website","CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI","- Hồ Chí Minh: Phường Trung Mỹ Tây (Quận 12 cũ)","https://www.topcv.vn/viec-lam/nhan-vien-phat-trien-thi-truong-website/1962718.html","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 7 (từ 08:00 đến 12:00)"
1,"Technical Lead (Trưởng Nhóm IT)","CÔNG TY CỔ PHẦN THIẾT KẾ VÀ QUẢN LÝ KỸ THUẬT IMP","- Hồ Chí Minh: Parkview Building, số 5A đại lộ Hữu Nghị, VSIP 1, Phường Thuận An (Thành phố Thuận An cũ)","https://www.topcv.vn/viec-lam/technical-lead-truong-nhom-it/2134626.html","Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)
Thứ 7 làm việc tới 15h, nghỉ 2 thứ 7 mỗi tuần."
1,"Chuyên Viên Thiết Kế - Lương Upto 12 Triệu","CÔNG TY TNHH HỒNG HẠNH","- Hà Nội: 252 phố Huế, Phường Hai Bà Trưng (quận Hai Bà Trưng cũ)","https://www.topcv.vn/viec-lam/chuyen-vien-thiet-ke-luong-upto-12-trieu/2023841.html","Thứ 2 - Thứ 7 (từ 08:00 đến 18:00)"
1,"Tech Leader / Trưởng Nhóm Công Nghệ - Phát Triển Sản Phẩm (Mức Lương 50 Triệu++)","CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG NIỀM TIN","- Hà Nội: Số 30, ngõ 88 Trung Kính, Phường Yên Hòa (quận Cầu Giấy cũ)","https://www.topcv.vn/viec-lam/tech-leader-truong-nhom-cong-nghe-phat-trien-san-pham-muc-luong-50-trieu/2133405.html","Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)
Thứ 7 trong tháng làm việc so le"
1,"Thực Tập Sinh Tuyển Dụng","Công ty Cổ phần Công nghệ Kiot Việt","- Hà Nội: 1A/ 1B Đường Yết Kiêu, Trần Hưng Đạo, Hoàn Kiếm, Phường Hoàn Kiếm (quận Hoàn Kiếm cũ)","https://www.topcv.vn/viec-lam/thuc-tap-sinh-tuyen-dung/2008786.html","Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)
Thứ 7 (từ 08:00 đến 12:00)
Nghỉ thứ 7 theo lịch (Nghỉ 2 T7/ tháng)"
1,"Thực Tập Sinh Tuyển Dụng","Công ty Cổ phần Công nghệ Kiot Việt","- Hà Nội: 1A/ 1B Đường Yết Kiêu, Trần Hưng Đạo, Hoàn Kiếm, Phường Hai Bà Trưng (quận Hai Bà Trưng cũ)","https://www.topcv.vn/viec-lam/thuc-tap-sinh-tuyen-dung/2008786.html","Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)
Thứ 7 (từ 08:00 đến 12:00)
Nghỉ thứ 7 theo lịch (Nghỉ 2 T7/ tháng)"
1,"Thực Tập Sinh Tuyển Dụng","Công ty Cổ phần Công nghệ Kiot Việt","- Hà Nội: 1A/ 1B Đường Yết Kiêu, Trần Hưng Đạo, Hoàn Kiếm, Phường Cửa Nam (quận Hoàn Kiếm cũ)","https://www.topcv.vn/viec-lam/thuc-tap-sinh-tuyen-dung/2008786.html","Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)
Thứ 7 (từ 08:00 đến 12:00)
Nghỉ thứ 7 theo lịch (Nghỉ 2 T7/ tháng)"
1,"Nhân Viên Kinh Doanh","CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI","- Hồ Chí Minh: Lầu 1, Tòa nhà SaigonTel, Lô 46, CVPM Quang Trung, Phường Trung Mỹ Tây (Quận 12 cũ)","https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh/1856480.html","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 7 (từ 08:00 đến 12:00)"
1,"UX/UI Website Design - Agency","CÔNG TY TNHH DIWE","- Hà Nội: 136 Nguyễn Lân, Phường Phương Liệt (quận Thanh Xuân cũ)","https://www.topcv.vn/viec-lam/ux-ui-website-design-agency/2141884.html","Thứ 2 - Thứ 6 (từ 08:15 đến 17:30)
Làm 02 thứ 7/ tháng cách tuần"
1,"IT System Engineer - English Or Chinese","CÔNG TY TNHH CÔNG NGHỆ MACRO VIỆT NAM","- Quảng Ninh: khu công nghiệp Texhong - Hải Hà, Xã Quảng Hà (huyện Hải Hà cũ)","https://www.topcv.vn/viec-lam/it-system-engineer-english-or-chinese/2023759.html","Thứ 2 - Thứ 7 (từ 08:00 đến 17:30)"
1,"IT System Engineer - English Or Chinese","CÔNG TY TNHH CÔNG NGHỆ MACRO VIỆT NAM","- Hải Phòng: 52 Tây Trung Hành, Hải An, Phường Hải An (quận Hải An cũ)","https://www.topcv.vn/viec-lam/it-system-engineer-english-or-chinese/2023759.html","Thứ 2 - Thứ 7 (từ 08:00 đến 17:30)"
