STT,Tiêu đề,Công ty,Lương,Link
54,Chương Trình Tài Năng Trẻ TopCV Mùa 2 - TopCV Next Gen 2026,Công ty Cổ phần TOPCV Việt Nam,Thoả thuận,https://www.topcv.vn/brand/topcv/tuyen-dung/chuong-trinh-tai-nang-tre-topcv-mua-2-topcv-next-gen-2026-j2104855.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
55,Nhân Viên Kỹ Thuật Bảo Trì - Bình Dương,CÔNG TY TNHH HERGENG ENTERPRISE VN,10 - 14 triệu,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-bao-tri-binh-duong/2108261.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
56,Kế Toán Viên - Không Yêu Cầu Kinh Nghiệm - Được Đào Tạo - Thu Nhập 12 - 14Tr - Đi Làm Ngay,CÔNG TY TNHH DƯỢC PHẨM TÂN THỊNH,12 - 14 triệu,https://www.topcv.vn/viec-lam/ke-toan-vien-khong-yeu-cau-kinh-nghiem-duoc-dao-tao-thu-nhap-12-14tr-di-lam-ngay/2109949.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
57,Kỹ Sư Xây Dựng/ Giám Sát Thi Công/ Kỹ Thuật Hiện Trường - Không Yêu Cầu Kinh Nghiệm (Hà Nội) Đi Làm Ngay - Lương Tới 20 Triệu,CÔNG TY CỔ PHẦN KIẾN TRÚC VÀ XÂY DỰNG VIỆT PHÁT,Tới 20 triệu,https://www.topcv.vn/viec-lam/ky-su-xay-dung-giam-sat-thi-cong-ky-thuat-hien-truong-khong-yeu-cau-kinh-nghiem-ha-noi-di-lam-ngay-luong-toi-20-trieu/2110010.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
58,Chuyên Viên Xây Dựng Và Bảo Trì Chuỗi Siêu Thị,Công ty Cổ Phần Con Cưng,Thoả thuận,https://www.topcv.vn/viec-lam/chuyen-vien-xay-dung-va-bao-tri-chuoi-sieu-thi/1528034.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
59,Giám Sát Thi Công Hệ Thống ME,CÔNG TY TNHH TƯ VẤN XÂY DỰNG ĐỈNH CAO,Thoả thuận,https://www.topcv.vn/viec-lam/giam-sat-thi-cong-he-thong-me/2088110.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
60,Trợ Lý Tổng Giám Đốc Kiêm Phiên Dịch ( Tiếng Trung Thành Thạo),CÔNG TY TNHH CÔNG NGHỆ FLETCHER VIỆT NAM,15 - 20 triệu,https://www.topcv.vn/viec-lam/tro-ly-tong-giam-doc-kiem-phien-dich-tieng-trung-thanh-thao/2109932.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
61,Brand Manager (Thu Nhập 35-40M),CÔNG TY TNHH THỜI TRANG CALIE HOUSE,35 - 40 triệu,https://www.topcv.vn/viec-lam/brand-manager-thu-nhap-35-40m/2112383.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
62,Kế Toán Công Nợ - Không Yêu Cầu Kinh Nghiệm - Lương Lên Đến 10 Triệu/Tháng - Tại Hồ Chí Minh,CÔNG TY TNHH 7STAR,8 - 10 triệu,https://www.topcv.vn/viec-lam/ke-toan-cong-no-khong-yeu-cau-kinh-nghiem-luong-len-den-10-trieu-thang-tai-ho-chi-minh/2110943.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
63,Chủ Trì/ Kiểm Soát Thiết Kế Thu Nhập 40-50 Triệu,CÔNG TY CỔ PHẦN TƯ VẤN VÀ THIẾT KẾ KIẾN TRÚC KIẾN GROUP,40 - 50 triệu,https://www.topcv.vn/viec-lam/chu-tri-kiem-soat-thiet-ke-thu-nhap-40-50-trieu/2112480.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
64,Chuyên Viên Kinh Doanh Tư Vấn Phần Mềm - Hộ Kinh Doanh,CÔNG TY CỔ PHẦN CÔNG NGHỆ KIOTVIET,15 - 30 triệu,https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-tu-van-phan-mem-ho-kinh-doanh/2110334.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
65,"Trưởng Phòng Kinh Doanh Ngành Mỹ Phẩm Và FMCG (Hồ Chí Minh, Lương Cứng 25-30 Triệu, Thưởng Doanh Số Cao)",CÔNG TY TNHH XUẤT NHẬP KHẨU TỔNG HỢP MINH KHÔI,Từ 30 triệu,https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh-nganh-my-pham-va-fmcg-ho-chi-minh-luong-cung-25-30-trieu-thuong-doanh-so-cao/2111361.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
66,Nhân Viên Nhập Liệu Chứng Từ Kế Toán,CÔNG TY TNHH DU LỊCH VICTORIA,7 - 8 triệu,https://www.topcv.vn/viec-lam/nhan-vien-nhap-lieu-chung-tu-ke-toan/2110796.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
67,Nhân Viên Hành Chính - Lễ Tân ( Hồ Chí Minh),CÔNG TY CỔ PHẦN TRUYỀN THÔNG  VÀNG CHÂU Á,13.5 - 15 triệu,https://www.topcv.vn/viec-lam/nhan-vien-hanh-chinh-le-tan-ho-chi-minh/2104540.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
68,Quản Lý Cửa Hàng - Vạn Hạnh Mall/ Aeon Bình Dương. Thu Nhập 8.5tr-14tr,Công ty TNHH Minigood Việt Nam,8.5 - 14 triệu,https://www.topcv.vn/viec-lam/quan-ly-cua-hang-van-hanh-mall-aeon-binh-duong-thu-nhap-8-5tr-14tr/2110502.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
69,Giao Dịch Viên - Toàn Quốc,Ngân Hàng Thương Mại Cổ Phần Kiên Long,Thoả thuận,https://www.topcv.vn/viec-lam/giao-dich-vien-toan-quoc/2111452.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
70,Kỹ Sư Xây Dựng (Set Up Trạm Sạc),CÔNG TY CỔ PHẦN PHÁT TRIỂN TRẠM SẠC TOÀN CẦU V-GREEN,Thoả thuận,https://www.topcv.vn/viec-lam/ky-su-xay-dung-set-up-tram-sac/1875858.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
71,"Giáo Viên Tiếng Anh (Tiểu Học - THCS - THPT, Hà Nội - Hải Phòng, 20-30 Triệu)",Edufit,15 - 22 triệu,https://www.topcv.vn/viec-lam/giao-vien-tieng-anh-tieu-hoc-thcs-thpt-ha-noi-hai-phong-20-30-trieu/2111239.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
72,Kế Toán Viên,CÔNG TY CỔ PHẦN DƯỢC PHẨM MINH KỲ,Thoả thuận,https://www.topcv.vn/viec-lam/ke-toan-vien/2109717.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
73,Thư Ký Mảng Truyền Thông,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG BCONS,Thoả thuận,https://www.topcv.vn/viec-lam/thu-ky-mang-truyen-thong/2115198.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
74,Kỹ Sư Lập Trình Và Phát Triển Phần Mềm,CÔNG TY CÔNG NGHỆ THÔNG TIN ĐIỆN LỰC MIỀN BẮC - CHI NHÁNH TỔNG CÔNG TY ĐIỆN LỰC MIỀN BẮC,Thoả thuận,https://www.topcv.vn/viec-lam/ky-su-lap-trinh-va-phat-trien-phan-mem/2114957.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
75,Kiến Trúc Sư (Đi Làm Ngay),CÔNG TY TNHH TƯ VẤN THIẾT KẾ - XÂY DỰNG KIẾN TRÚC MỚI,Thoả thuận,https://www.topcv.vn/viec-lam/kien-truc-su-di-lam-ngay/2110011.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
76,"Giám Sát Xây Dựng/ Công Trình - Lương Cứng 17-22 Triệu + Thưởng Dự Án, Tại Hồ Chí Minh & Tỉnh Lân Cận",CÔNG TY TNHH THƯƠNG MẠI KIẾN TRÚC XÂY DỰNG ĐỨC TÍN,17 - 22 triệu,https://www.topcv.vn/viec-lam/giam-sat-xay-dung-cong-trinh-luong-cung-17-22-trieu-thuong-du-an-tai-ho-chi-minh-tinh-lan-can/2115867.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
77,Nhân Viên Biên Phiên Dịch Trung - Việt | 中越翻译服务岗,CÔNG TY TNHH MUYUAN VIỆT NAM,18 - 30 triệu,https://www.topcv.vn/viec-lam/nhan-vien-bien-phien-dich-trung-viet/2117282.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
78,TTS Công Nghệ Thông Tin Fulltime (Có Mộc+Có Lương),CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,4 - 15 triệu,https://www.topcv.vn/viec-lam/tts-cong-nghe-thong-tin-fulltime-co-moc-co-luong/2109114.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
79,Trợ Lý Kinh Doanh,CÔNG TY TNHH MTV THE GREEN UNIVERSE,8 - 10 triệu,https://www.topcv.vn/viec-lam/tro-ly-kinh-doanh/2110953.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
80,Nhân Viên Khai Báo Hải Quan (Nhận Việc Ngay),CÔNG TY TNHH GRAND LANE LOGISTICS,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-khai-bao-hai-quan-nhan-viec-ngay/2110816.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
81,Nhân Viên Chứng Từ Xuất Nhập Khẩu,CÔNG TY TNHH THƯƠNG MẠI-DỊCH VỤ LONG HƯNG PHÁT,Từ 10 triệu,https://www.topcv.vn/viec-lam/nhan-vien-chung-tu-xuat-nhap-khau/2112240.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
82,Thực Tập Sinh Content Creator,CÔNG TY TNHH STEVE MILLE,3 - 5 triệu,https://www.topcv.vn/viec-lam/thuc-tap-sinh-content-creator/2106467.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
83,Chuyên Viên Mua Bán & Khai Thác Tài Sản (Thu Nhập Hấp Dẫn),Công ty TNHH MTV Quản lý nợ và khai thác tài sản VIBAMC,Thoả thuận,https://www.topcv.vn/viec-lam/chuyen-vien-mua-ban-khai-thac-tai-san-thu-nhap-hap-dan/2110354.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
84,Điều Dưỡng Phòng Khám Thẩm Mỹ,CÔNG TY TNHH THẨM MỸ LINH ANH SAIGON,12 - 158 triệu,https://www.topcv.vn/viec-lam/dieu-duong-phong-kham-tham-my/1860674.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
85,Nhân Viên Chăm Sóc Khách Hàng (Không Telesales),CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NEW ERA FINANCE,8 - 20 triệu,https://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang-khong-telesales/2109918.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
86,Thực Tập Sinh Công Nghệ Thông Tin Đào Tạo Có Lương,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,4 - 10 triệu,https://www.topcv.vn/viec-lam/thuc-tap-sinh-cong-nghe-thong-tin-dao-tao-co-luong/2058921.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
87,Chuyên Viên Pháp Lý Doanh Nghiệp (Đa Ngành),CÔNG TY TNHH MTV SEN VÀNG VIỆT NAM,Thoả thuận,https://www.topcv.vn/brand/goldenlotusjewelry/tuyen-dung/chuyen-vien-phap-ly-doanh-nghiep-da-nganh-j2110765.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
88,"Technical Support Engineer (Fixed Night Shift, IT, Up To 30M Total Package)",Công ty TNHH ITECHWX,Thoả thuận,https://www.topcv.vn/viec-lam/technical-support-engineer-fixed-night-shift-it-up-to-30m-total-package/2114902.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
89,Trưởng Phòng Hành Chính Nhân Sự,Công ty Cổ phần xây dựng Vijako Việt Nam,25 - 40 triệu,https://www.topcv.vn/viec-lam/truong-phong-hanh-chinh-nhan-su/2110064.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
90,Chuyên Viên Thiết Kế Đồ Họa - Graphic Design (Lương Cứng 15-20TR/Tháng),Công ty Cổ phần Bất động sản TICA LAND,15 - 20 triệu,https://www.topcv.vn/viec-lam/chuyen-vien-thiet-ke-do-hoa-graphic-design-luong-cung-15-20tr-thang/2056729.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
91,Giám Sát Kinh Doanh/ Sales Supervisor/Giám Sát Bán Hàng,CÔNG TY CỔ PHẦN TẬP ĐOÀN TLC VIỆT NAM,15 - 30 triệu,https://www.topcv.vn/viec-lam/giam-sat-kinh-doanh-sales-supervisor-giam-sat-ban-hang/2111791.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
92,"Chuyên Viên Xây Dựng & Phát Triển Kênh Online (Thu Nhập 12tr - 14tr), Phỏng Vấn Đi Làm Ngay",CÔNG TY TNHH TRUYỀN THÔNG TTV,12 - 14 triệu,https://www.topcv.vn/viec-lam/chuyen-vien-xay-dung-phat-trien-kenh-online-thu-nhap-12tr-14tr-phong-van-di-lam-ngay/2110293.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
93,Nhân Viên Thu Ngân - Vận Hành Online/Apps,Công Ty TNHH Thương Mại Laria – Siêu Thị Farmers Market,7.3 - 10 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thu-ngan-van-hanh-online-apps/1602361.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
94,QA Tester (Game/Web) Thu Nhập Up To 30M - Nhận Việc Ngay,CÔNG TY TNHH BPO BLUENOVA SOLUTIONS,10 - 30 triệu,https://www.topcv.vn/viec-lam/qa-tester-game-web-thu-nhap-up-to-30m-nhan-viec-ngay/2125006.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
95,Admin Bất Động Sản - Thu Nhập 8 - 15 Triệu ( Quận 7 - Hồ Chí Minh ),CÔNG TY CỔ PHẦN HANA HOUSING,8 - 15 triệu,https://www.topcv.vn/viec-lam/admin-bat-dong-san-thu-nhap-8-15-trieu-quan-7-ho-chi-minh/2112024.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
96,"Nhân Viên Kỹ Thuật Lắp Ráp Máy Tính (PC, Laptop)",Công ty TNHH TIN HỌC NGÔI SAO LỚN,7 - 12 triệu,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-lap-rap-may-tinh-pc-laptop/2116719.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
97,Nhân Viên Kinh Doanh,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG HẢI HÀNG KHÔNG CON CÁ HEO,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh/1990384.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
98,Nhân Viên Mua Hàng ( Có Đào Tạo ) Lương 8-14 Triệu - Khu Vực Hoài Đức  - Hà Nội,Công ty Cổ phần Đầu tư và Sản xuất Công nghiệp BCM,8 - 14 triệu,https://www.topcv.vn/viec-lam/nhan-vien-mua-hang-co-dao-tao-luong-8-14-trieu-khu-vuc-hoai-duc-ha-noi/2112679.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
99,Nhân Viên Thiết Kế Đồ Họa - Đi Làm Ngay,CÔNG TY CỔ PHẦN GIẢI TRÍ PERFECT UNIVERSE,10 - 13 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-do-hoa-di-lam-ngay/2115104.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
100,Kỹ Sư Giải Pháp An Ninh Bảo Mật,CÔNG TY CÔNG NGHỆ THÔNG TIN ĐIỆN LỰC MIỀN BẮC - CHI NHÁNH TỔNG CÔNG TY ĐIỆN LỰC MIỀN BẮC,Thoả thuận,https://www.topcv.vn/viec-lam/ky-su-giai-phap-an-ninh-bao-mat/2114942.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
