STT,Tiêu đề,Công ty,Lương,Link
15,"Nhân Viên Thiết Kế Nhãn, Bao Bì Sản Phẩm - Từ 2 Năm Kinh Nghiệm, Thu Nhập Đến 15 Triệu, Đi Làm Ngay",CÔNG TY TNHH GOOD HEART,10 - 15 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-nhan-bao-bi-san-pham-tu-2-nam-kinh-nghiem-thu-nhap-den-15-trieu-di-lam-ngay/2110426.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
16,"Nhân Viên Giao Nhận , Thủ Tục Hải Quan ( OPS ) Tại Hải Phòng_ Thu Nhập Upto 15.000.000",CHI NHÁNH CÔNG TY CỔ PHẦN VẬN TẢI TOÀN CẦU VIỆT NAM,10 - 15 triệu,https://www.topcv.vn/viec-lam/nhan-vien-giao-nhan-thu-tuc-hai-quan-ops-tai-hai-phong-thu-nhap-upto-15-000-000/2112249.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
17,"Nhân Viên Bảo Trì Điện, Điện Lạnh/ Kỹ Thuật Vận Hành - Lương Từ 10-14 Triệu (Hồ Chí Minh, Hà Nội)",Công ty TNHH Kootoro Việt Nam,10 - 14 triệu,https://www.topcv.vn/viec-lam/nhan-vien-bao-tri-dien-dien-lanh-ky-thuat-van-hanh-luong-tu-10-14-trieu-ho-chi-minh-ha-noi/2115352.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
18,Nhân Viên Hành Chính Tổng Hợp ( 1 Năm Kinh Nghiệm ) - Lương 8-11 Triệu - Khu Vực Phường Cầu Giấy,Công ty Cổ phần Đầu tư và Sản xuất Công nghiệp BCM,8 - 11 triệu,https://www.topcv.vn/viec-lam/nhan-vien-hanh-chinh-tong-hop-1-nam-kinh-nghiem-luong-8-11-trieu-khu-vuc-phuong-cau-giay/2112615.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
19,Chuyên Viên Chăm Sóc Khách Hàng (Mảng Vận Hành Nhà Chung Cư),Công ty CP Vinhomes,Thoả thuận,https://www.topcv.vn/viec-lam/chuyen-vien-cham-soc-khach-hang-mang-van-hanh-nha-chung-cu/2109986.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
20,"Nhân Viên Kế Toán Nội Bộ (Không Yêu Cầu Kinh Nghiệm)-[Chấp Nhận Sinh Viên Đang Chờ Bằng] Tại Quận 7, Quận 11, Quận 12 Hồ Chí Minh",CÔNG TY CỔ PHẦN DONG SHOP SUN,8.5 - 10 triệu,https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-noi-bo-khong-yeu-cau-kinh-nghiem-chap-nhan-sinh-vien-dang-cho-bang-tai-quan-7-quan-11-quan-12-ho-chi-minh/678713.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
21,Biên Tập Viên Tiếng Hàn - Lương Hấp Dẫn - Dưới 1 Năm Kinh Nghiệm (Hà Nội),CÔNG TY CỔ PHẦN XUẤT BẢN VÀ TRUYỀN THÔNG IPM,Thoả thuận,https://www.topcv.vn/viec-lam/bien-tap-vien-tieng-han-luong-hap-dan-duoi-1-nam-kinh-nghiem-ha-noi/2112145.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
22,Quản Lý Thi Công/ Chỉ Huy Trưởng Mảng Dân Dụng (Làm Tại Hà Nội),CÔNG TY CỔ PHẦN TƯ VẤN VÀ THIẾT KẾ KIẾN TRÚC KIẾN GROUP,20 - 30 triệu,https://www.topcv.vn/viec-lam/quan-ly-thi-cong-chi-huy-truong-mang-dan-dung-lam-tai-ha-noi/2112495.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
23,Gia Sư THCS/THPT Toán/ Lý/ Hóa/ Văn/ Sinh/ KHTN (Thu Nhập 5-10M/Tháng _ Làm Tại Nhà/Remote _ Nhận Việc Ngay),CÔNG TY CỔ PHẦN CÔNG NGHỆ MARATHON EDUCATION,5 - 10 triệu,https://www.topcv.vn/viec-lam/gia-su-thcs-thpt-toan-ly-hoa-van-sinh-khtn-thu-nhap-5-10m-thang-lam-tai-nha-remote-nhan-viec-ngay/2054069.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
24,Nhân Viên Văn Phòng (Tư Vấn-Ghi Danh) Nữ - Hồ Chí Minh - Đi Làm Ngay,Công ty TNHH Tư vấn & Dịch vụ Chuyên Việt,9 - 15 triệu,https://www.topcv.vn/viec-lam/nhan-vien-van-phong-tu-van-ghi-danh-nu-ho-chi-minh-di-lam-ngay/2056106.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
